Instance,Income
111994,24922.49801
111995,21081.13349
111996,51425.91236
111997,139256.1016
111998,26162.59743
111999,80552.2112
112000,88386.14249
112001,73123.84405
112002,34529.24612
112003,115828.1286
112004,5592.99147
112005,138550.8916
112006,33225.06564
112007,106211.7842
112008,244472.4087
112009,71678.7318
112010,37364.11812
112011,30925.50392
112012,19123.78298
112013,11291.88099
112014,155856.0252
112015,55883.8765
112016,66365.92553
112017,28806.77394
112018,174673.6153
112019,53174.18535
112020,38566.92804
112021,25933.1707
112022,100498.9797
112023,56090.43838
112024,29423.40133
112025,92995.72078
112026,47453.77222
112027,63290.95213
112028,55495.20875
112029,61746.77589
112030,172399.7416
112031,179926.3376
112032,234098.4391
112033,91800.15946
112034,275763.6541
112035,92551.54192
112036,233281.8518
112037,141342.0547
112038,165358.7122
112039,43612.38025
112040,63287.25825
112041,68261.75965
112042,44052.3087
112043,75711.74588
112044,50728.71767
112045,16401.3291
112046,223545.5315
112047,40676.76565
112048,25043.09898
112049,84616.38638
112050,52461.02759
112051,92309.93124
112052,112266.1679
112053,251129.2225
112054,60821.88882
112055,26179.64327
112056,97818.3613
112057,31764.30681
112058,23820.27297
112059,57281.91617
112060,307479.5014
112061,176564.9994
112062,209300.7363
112063,56267.04908
112064,20936.97453
112065,43916.63469
112066,4524.80132
112067,107817.8836
112068,49913.29654
112069,202592.5479
112070,596893.0954
112071,39024.92436
112072,65887.44541
112073,44011.75262
112074,23997.70133
112075,13047.09833
112076,111085.7583
112077,941565.089
112078,9895.216362
112079,154740.2955
112080,125700.8881
112081,794813.9336
112082,41970.42193
112083,27128.54593
112084,13933.53928
112085,47137.99218
112086,30072.19996
112087,75863.97752
112088,122050.8279
112089,71106.57034
112090,209094.5937
112091,47493.99114
112092,39987.01871
112093,95824.70668
112094,40779.92335
112095,59971.92598
112096,114975.6261
112097,20953.8511
112098,35370.82553
112099,33450.22996
112100,47425.25728
112101,220990.9143
112102,40184.49509
112103,136983.2233
112104,61525.23692
112105,45329.98165
112106,118903.3526
112107,108462.6044
112108,51520.10199
112109,31930.88382
112110,45603.54358
112111,32193.35313
112112,71710.49245
112113,74586.88507
112114,75193.02982
112115,15742.29003
112116,39634.3423
112117,80262.80896
112118,23457.44916
112119,35095.17506
112120,459464.7888
112121,121977.4806
112122,723631.1983
112123,234776.7941
112124,51220.34687
112125,146203.4009
112126,149264.1107
112127,20319.51225
112128,42735.46862
112129,127497.1804
112130,87457.19803
112131,19693.33751
112132,74719.1061
112133,225767.7194
112134,15313.65957
112135,24337.1743
112136,54704.52725
112137,15867.02955
112138,54062.17314
112139,57751.80261
112140,42665.28747
112141,42913.91409
112142,53040.4303
112143,266951.9711
112144,35185.02729
112145,31195.0331
112146,52742.85765
112147,236497.1171
112148,54578.02728
112149,67212.91893
112150,17585.03822
112151,300025.4426
112152,74445.14256
112153,62246.31848
112154,21719.67722
112155,95687.87015
112156,65061.5899
112157,112545.7882
112158,38000.38978
112159,320897.6535
112160,50699.17964
112161,159362.4301
112162,122023.2485
112163,11642.41704
112164,23860.03057
112165,135032.0316
112166,49417.17202
112167,20054.92506
112168,52397.47715
112169,284212.2463
112170,250048.611
112171,43329.05829
112172,24538.98568
112173,112913.0505
112174,42081.79268
112175,35115.52586
112176,32740.62547
112177,120047.5777
112178,20001.11886
112179,28202.7713
112180,43150.2268
112181,7010.22107
112182,221738.1686
112183,107121.8482
112184,22927.90255
112185,301826.6816
112186,11186.10474
112187,96050.52232
112188,241776.6853
112189,48385.40778
112190,31970.90022
112191,94090.33625
112192,415712.5836
112193,33842.47244
112194,199893.0759
112195,37386.81797
112196,29527.71695
112197,245424.5403
112198,38255.87333
112199,41649.15802
112200,70447.77347
112201,260174.3341
112202,105909.5256
112203,40948.1968
112204,39176.35556
112205,6562.233004
112206,70080.69624
112207,336468.0502
112208,71818.28643
112209,316175.016
112210,64755.52875
112211,211803.0102
112212,53901.46687
112213,23346.11516
112214,202209.5665
112215,31374.57583
112216,125304.1995
112217,43636.17627
112218,52840.25699
112219,356627.5125
112220,26837.91386
112221,16682.38934
112222,33453.77792
112223,57889.84368
112224,145741.7386
112225,18219.56787
112226,42266.21064
112227,64833.70156
112228,106203.0053
112229,48235.4983
112230,221170.0138
112231,22146.7621
112232,91102.66621
112233,36525.175
112234,37824.1902
112235,24880.92506
112236,115758.7913
112237,301097.3618
112238,42743.64027
112239,12456.08527
112240,15557.84321
112241,22158.75127
112242,43055.83236
112243,53428.61336
112244,150834.1269
112245,104890.081
112246,26441.87611
112247,445487.5817
112248,83673.92309
112249,14902.26482
112250,61241.70605
112251,55596.11116
112252,54211.71724
112253,25963.21195
112254,225431.1959
112255,39525.97418
112256,44936.33968
112257,33423.02785
112258,716627.6043
112259,136983.3781
112260,97909.23277
112261,488978.9651
112262,72228.50579
112263,32171.64534
112264,116426.1064
112265,17492.9601
112266,40661.35156
112267,53222.84047
112268,46055.56644
112269,315134.493
112270,32147.95828
112271,72089.04423
112272,55535.76166
112273,124415.1778
112274,6648.679035
112275,222936.8156
112276,320915.1999
112277,62796.28909
112278,29520.89626
112279,18172.54653
112280,148647.6389
112281,88249.47765
112282,321564.8771
112283,113826.2497
112284,73155.14158
112285,45240.25017
112286,38694.78583
112287,31256.01136
112288,87129.98055
112289,285885.2379
112290,166809.1673
112291,39492.83371
112292,692597.2959
112293,27186.2501
112294,333518.0309
112295,38636.91334
112296,209406.2678
112297,56730.35015
112298,48091.33617
112299,44505.40271
112300,7079.023878
112301,33821.3453
112302,13472.74507
112303,46076.80775
112304,158060.5532
112305,23560.87529
112306,49354.71658
112307,36427.79714
112308,150897.6329
112309,54148.39507
112310,43101.89561
112311,71984.62075
112312,37945.29491
112313,107737.3881
112314,44571.37811
112315,139410.5355
112316,48573.33499
112317,22511.67725
112318,26066.44606
112319,29504.08936
112320,737885.1988
112321,81339.10977
112322,19809.21475
112323,97794.9599
112324,415287.578
112325,208355.677
112326,163433.3899
112327,208027.5602
112328,114810.7543
112329,77262.93373
112330,305211.9521
112331,335920.6684
112332,198789.4878
112333,242309.9682
112334,192946.8893
112335,67676.97524
112336,35633.44225
112337,209452.5761
112338,237251.9628
112339,246056.3855
112340,50868.46667
112341,787424.7544
112342,22503.15844
112343,39842.62101
112344,26849.84003
112345,32293.62013
112346,57104.99249
112347,17614.68047
112348,27411.65685
112349,27227.63531
112350,86251.19057
112351,31426.83626
112352,44232.54434
112353,10134.30138
112354,163439.9435
112355,52396.25764
112356,72907.00138
112357,75560.67148
112358,92354.09947
112359,63067.40902
112360,29308.98052
112361,142169.5622
112362,59691.57325
112363,55376.49668
112364,20444.15662
112365,4566.851601
112366,15872.46405
112367,23355.74169
112368,59725.15839
112369,123289.0631
112370,32213.11315
112371,349190.4036
112372,95868.81929
112373,56721.02544
112374,7729.39048
112375,28952.78313
112376,102956.0216
112377,128580.3809
112378,47245.71875
112379,106656.1384
112380,67298.81107
112381,67817.51068
112382,89811.79565
112383,12997.72062
112384,269800.4669
112385,12612.20647
112386,168648.6496
112387,65832.02302
112388,38879.43063
112389,43946.76283
112390,15710.53041
112391,9405.931086
112392,109420.8708
112393,74516.75335
112394,68850.35781
112395,22172.25122
112396,78195.27785
112397,48294.6591
112398,361184.0834
112399,69963.50093
112400,103414.1325
112401,138203.1278
112402,818969.4654
112403,112537.9658
112404,118372.9243
112405,57978.86433
112406,25750.96822
112407,11223.46769
112408,13962.15971
112409,48928.07744
112410,24896.77214
112411,108934.0431
112412,89404.94971
112413,28237.01066
112414,61441.38818
112415,168931.6485
112416,81598.32743
112417,118377.2167
112418,53777.18078
112419,180344.701
112420,49360.26581
112421,249606.7363
112422,88394.0262
112423,50526.47608
112424,8529.762742
112425,43639.3027
112426,90590.11221
112427,273212.4427
112428,196753.7915
112429,9763.949736
112430,20471.67282
112431,147330.1136
112432,35948.60785
112433,78598.59307
112434,29906.30837
112435,112334.8015
112436,36359.60282
112437,71894.80291
112438,116246.638
112439,13735.46487
112440,222908.1859
112441,42002.02008
112442,525298.3845
112443,46752.4729
112444,30166.70128
112445,71416.42355
112446,781741.8998
112447,563647.1542
112448,70610.96637
112449,82079.38325
112450,55331.73449
112451,109835.8386
112452,16041.4749
112453,23189.00198
112454,94125.37492
112455,698534.1924
112456,43085.49813
112457,157060.4759
112458,118933.4279
112459,60884.74769
112460,57122.85717
112461,387718.4149
112462,64751.99398
112463,36079.17508
112464,74254.2593
112465,124246.9443
112466,174144.2225
112467,48393.88605
112468,39388.35993
112469,72180.60764
112470,26935.8154
112471,57702.52815
112472,262045.5037
112473,57722.97575
112474,12511.2168
112475,85230.7284
112476,77283.68663
112477,41126.58654
112478,67167.8886
112479,18603.28998
112480,56342.01008
112481,154517.6552
112482,48405.15887
112483,403821.6862
112484,49888.69257
112485,63991.86375
112486,20170.26643
112487,21191.89744
112488,161072.1655
112489,55466.49347
112490,284655.463
112491,74357.29303
112492,51712.17576
112493,341663.3601
112494,12979.31716
112495,12987.84137
112496,24489.81621
112497,213125.638
112498,11241.38113
112499,57809.18944
112500,13301.19508
112501,68129.85757
112502,81562.72308
112503,73090.90837
112504,53056.48081
112505,23456.44461
112506,53474.02729
112507,81668.0927
112508,77607.33734
112509,14537.2444
112510,38636.04836
112511,98409.07594
112512,10932.35424
112513,53874.3415
